Strains	Propidium_p.value	Propidium_Mean	Propidium_est	Propidium_ci	Propidium_p.adj	Suberin_p.value	Suberin_Mean	Suberin_est	Suberin_ci	Suberin_p.adj
L264	0.0254845056111639	0.148554037437694	0.0454384130049367	0.0346875744683696	0.0946567351271801	0.638010908649383	0.354185721583074	0.0136492141983558	0.0471037899674989	0.67880444500804
L265	0.0221820628420859	0.0362413734873459	-0.0799488557543863	0.0106249193640455	0.0917670207638062	0.27842121296349	0.470101858925388	0.0884663772899066	0.120301037632227	0.320839957320809
L267	0.0963218065644763	0.0615949688769027	-0.0545952603648296	0.0219329591314025	0.205486520670883	0.308996993002339	0.312981849611063	-0.0686536320244186	0.0630263120354868	0.352171915312255
L272	0.0166620071284508	0.0300025551440842	-0.086187674097648	0.0136446440827928	0.0849331106507377	0.00550749226609872	0.67864532315062	0.297009841515138	0.119677218748575	0.0108071546353635
L274	0.20478144924707	0.0692653741685467	-0.0469248550731856	0.038247258269264	0.330190243747214	0.00467790307487676	0.900793650793651	0.519158169158169	0.315718879492431	0.00935580614975352
L278	0.882583094826242	0.106862570469105	0.00374694603634751	0.0634593985911713	0.920186885833876	0.000140902520975341	0.876115942028985	0.535579434644267	0.21112017065641	0.00053729073269609
L28	0.591472055517784	0.127276896156096	0.0125770062817268	0.0512777423617162	0.699012429248291	6.65857580692366e-06	1	0.616914725911782	0	5.35648157501163e-05
L280	0.204125092931668	0.181115547011279	0.0779999225785217	0.153459018142704	0.330190243747214	0.00106800452537688	0.886986301369863	0.546449793985145	0.359660027651926	0.00270908464973648
L283	0.385335923040928	0.0885824791944347	-0.0145331452383224	0.0318265297628166	0.515433260402013	0.188079346400296	0.297042046051024	-0.0434944613336942	0.0548664321517835	0.226130081221165
L285	0.0464796418026731	0.0383957618308988	-0.0777944674108335	0.0154818108361567	0.129678391829159	0.00196164115460475	0.833479541400779	0.451844059765297	0.181459716802702	0.00463577274384984
L288	0.0675487697407206	0.0302765034931398	-0.0859137257485924	0.00656501778937809	0.168265198875089	0.790741150543222	0.398577811984106	0.0169423303486248	0.0705039645602718	0.819106160866576
L289	0.0424682374515439	0.0464468547390324	-0.0697433745026998	0.0197802601153462	0.123263511338498	0.0041932886318813	0.817043238435616	0.435407756800134	0.214183809902177	0.00854585007732323
L29	0.0426681385402492	0.0551310194010092	-0.0562765441429148	0.00904045609605865	0.123263511338498	1.7357395362576e-09	1	0.660300500383147	0	6.01723039235969e-08
L291	0.226307121379936	0.0871567482315368	-0.0159588762012203	0.0229284313035871	0.351282695873334	3.01968713322507e-06	0.955696202531646	0.615159695146927	0.140994456563202	3.18651583821536e-05
L294	0.376640185908459	0.125300578018552	0.0221849535857949	0.0521326380245204	0.505426830122319	0.00117444826128504	0.591050726979678	0.250514219594959	0.116405633330172	0.00294319564273842
L296	0.42553041945605	0.129021496656989	0.0259058722242315	0.0819258498657374	0.560191944600369	0.834911948159165	0.348912466843501	0.008375959458783	0.0900653606199702	0.853374374531235
L299	0.113127346960982	0.0824042393445087	-0.0207113850882484	0.0198530804078654	0.227347711766998	0.820062057013033	0.346375830450436	0.00583932306571755	0.0364646247637604	0.842335347450424
L3	0.759790231579385	0.109132047450301	-0.00556784242406823	0.0201582512657393	0.831770358781643	0.498530109913275	0.418366491895904	0.0352812178076859	0.109666959047631	0.542901899800843
L30	0.110512806696032	0.0827954999186506	-0.0319043899557183	0.0229863432607791	0.223171493133734	6.65857580692366e-06	1	0.616914725911782	6.89261979826974e-17	5.35648157501163e-05
L304	0.751826212131467	0.115974224951974	0.0091632777544199	0.0557882862988967	0.827406624991244	0.000286572140880511	0.905494505494505	0.480778447118346	0.157913654885616	0.00095371208485034
L306	0.0031434483826275	0.0489728771056414	-0.0592760258128897	0.0245889046269366	0.0318945006627571	0.745875638599082	0.593025793521839	0.0321736696147956	0.290229725108712	0.782914922724013
L307	0.174020904307869	0.153575519519832	0.0453266166013008	0.149448985703627	0.296986719492259	5.11706221664939e-07	1	0.439147876092956	1.95016294377558e-16	8.18729954663903e-06
L311	0.621580588970616	0.0999304776587542	-0.00831842525977687	0.0297551977434555	0.724306792750073	0.247174736464306	0.601861910491373	0.0410097865843289	0.0734141864865646	0.288024342770732
L313	0.523548250216934	0.0976672645577396	-0.0105816383607915	0.0287704387576843	0.646279145668381	0.0248578405964696	0.817708333333333	0.25685620942629	0.210414193525015	0.0370640203875676
L314	0.0551011831007001	0.0835470375334515	-0.0247018653850796	0.0115415025021297	0.145919207455497	0.128423373031059	0.596666477140903	0.0358143532338587	0.0334434098204352	0.163877678469082
L32	0.216095040627121	0.0886806036182795	-0.0260192862560894	0.03275423766241	0.343112736262909	0.000195376473701717	0.911111111111111	0.528025837022893	0.246795120462026	0.000700660457413054
L320	0.70975508354261	0.0998082849909298	-0.00844061792760126	0.0522924184059242	0.797017373202606	0.104455204486689	0.706491760052736	0.145639636145692	0.241054263489706	0.1370768614084
L321	0.169070571584085	0.0887043842388138	-0.0195445186797172	0.00617813134982047	0.294642559749874	0.0995295873834707	0.440031245310524	-0.12082087859652	0.246265893490937	0.131860854622687
L324	0.560860809467326	0.124781177582434	0.0165322746639032	0.0690432907930885	0.678728895364075	0.00421129631214246	0.796504060743794	0.235651936836751	0.181446820993314	0.00854585007732323
L325	0.194166300338452	0.134094535762119	0.0258456328435881	0.0358891525490193	0.320081945435068	0.766294887384409	0.546498860880902	-0.0143532630261417	0.110524496910651	0.798944042987253
L326	0.0582009101602072	0.0712879721634171	-0.0369609307551139	0.0321670241340444	0.152274079412869	5.11706221664939e-07	1	0.439147876092956	1.95016294377558e-16	8.18729954663903e-06
L33	0.00277227728859918	0.0603596630622158	-0.0526138742125502	0.0128758838372725	0.0312658867391068	1.38590862350469e-11	1	0.594848048549914	0	1.15307597475591e-09
L334	0.0038391333814822	0.0594176096051952	-0.0488312933133359	0.0134341135855151	0.0354906552599243	0.0711937549277211	0.508973006758076	-0.0518791171489674	0.0514510790751673	0.0971036132784655
L335	0.223595817432173	0.0790031479225289	-0.0292457549960021	0.0532135878237984	0.349683684405203	0.233162393235867	0.589978956657503	0.0291268327504588	0.0383527774841033	0.275470073185659
L336	0.730935430533196	0.101786242889154	-0.00502470430839959	0.0252932470992412	0.810851037604825	0.791540088145105	0.443956715154327	0.0192406567781676	0.140370639886658	0.819106160866576
