Strains	Mean	p.value	est	p.adj	Significance	Variable
RMF88	-0.139925307181166	0.00647848652302247	0.466181164917594	0.272096433966944	NoSignificant	Suberin
RMF279	-1.00837402000564	0.000217533184699747	-0.402267547906881	0.00913639375738939	Down	Suberin
RMF300	-0.132356077149268	0.0103781769415064	0.473750394949493	0.43588343154327	NoSignificant	Suberin
RCL69	-0.595963222721624	0.902974766619241	0.0101432493771368	1	NoSignificant	Suberin
RMF164	0.131845920127692	0.000541503623969431	0.737952392226453	0.0227431522067161	Up	Suberin
RMF160	0.315206646959392	0.000351013434882772	0.921313119058153	0.0147425642650764	Up	Suberin
RMF366	0.426641388619727	0.000107762088265929	1.03274786071849	0.00452600770716903	Up	Suberin
RMF369	0.257574017046516	0.000255828304411728	0.863680489145276	0.0107447887852926	Up	Suberin
RMF397	-0.163335042719359	0.00291720658945962	0.442771429379402	0.122522676757304	NoSignificant	Suberin
RMF26	-0.787932359721762	0.395424745086268	-0.181825887623001	1	NoSignificant	Suberin
RMF329	0.169531004922611	1.32854400372363e-06	0.775637477021372	5.57988481563926e-05	Up	Suberin
RCL4	0.504756589085974	1.62393739160149e-08	1.11086306118473	6.82053704472625e-07	Up	Suberin
L22	-0.270305127335009	0.220300836226271	0.335801344763752	1	NoSignificant	Suberin
L177HK	0.158992536331288	0.0752046007154922	0.338000148930086	1	NoSignificant	Weight
L177	0.867812181187702	0.000608019192527075	1.0468197937865	0.0504655929797472	Up	Weight
L176	0.0149902602361254	0.3186184307069	0.193997872834923	1	NoSignificant	Weight
L247	0.306760529099411	0.0018468434228603	0.485768141698209	0.153288004097405	NoSignificant	Weight
L226	0.885678952369412	0.00144142118922158	1.06468656496821	0.119637958705391	NoSignificant	Weight
CDEF	0.138224715788767	0.000300911096109169	0.317232328387564	0.024975620977061	Up	Weight
L176HK	-0.267172630633511	0.671048309621947	-0.0881650180347133	1	NoSignificant	Weight
L247HK	-0.143191777461274	0.829913624660152	0.0358158351375238	1	NoSignificant	Weight
L226HK	-0.403483915213224	0.209052064219434	-0.224476302614426	1	NoSignificant	Weight
L183	0.0184235157995657	0.166692954644833	0.197431128398363	1	NoSignificant	Weight
L86	0.128793583756163	0.0137068085112983	0.307801196354961	1	NoSignificant	Weight
L67	0.416633901172415	0.00334860887427054	0.595641513771212	0.277934536564455	NoSignificant	Weight
L179	0.0604217487681548	0.0770834167358805	0.239429361366952	1	NoSignificant	Weight
L86HK	-0.527603503599581	0.000108468783011051	-0.348595891000783	0.00900290898991727	Down	Weight
L179HK	-0.197919873706186	0.836716854196473	-0.0189122611073881	1	NoSignificant	Weight
L67HK	0.00422138947731906	0.273646498465145	0.183229002076117	1	NoSignificant	Weight
L183HK	-0.487354633137859	0.00484610425640178	-0.308347020539061	0.402226653281348	NoSignificant	Weight
L159HK	-0.133211142965213	0.750545701743842	0.0457964696335841	1	NoSignificant	Weight
L151HK	-0.342221030172636	0.189364747912332	-0.163213417573838	1	NoSignificant	Weight
L363HK	-0.318409087929978	0.330864949847324	-0.139401475331181	1	NoSignificant	Weight
L201HK	-0.156579481076681	0.861257964752059	0.0224281315221163	1	NoSignificant	Weight
L151	0.0139947425779377	0.31223659251425	0.193002355176735	1	NoSignificant	Weight
L201	0.468464427878098	0.000401781705307291	0.647472040476896	0.0333478815405052	Up	Weight
L159	0.171522260987895	0.0255565553454105	0.350529873586693	1	NoSignificant	Weight
L363	0.350478146168178	0.00408570093625108	0.529485758766975	0.339113177708839	NoSignificant	Weight
L32HK	-0.324669487191547	0.0813672662353953	-0.14566187459275	1	NoSignificant	Weight
L5HK	-0.317665081821833	0.296758683392381	-0.138657469223036	1	NoSignificant	Weight
L61HK	-0.368360514220763	0.168043220144298	-0.189352901621966	1	NoSignificant	Weight
L23HK	-0.232771101119573	0.594821202584979	-0.0537634885207756	1	NoSignificant	Weight
L23	0.525240976936206	1.43544169218196e-06	0.704248589535003	0.000119141660451103	Up	Weight
L61	-0.0229951010820153	0.0519524918527258	0.156012511516782	1	NoSignificant	Weight
L32	0.441411697012757	0.000113526094813805	0.620419309611555	0.00942266586954579	Up	Weight
L5	-0.0137775682283708	0.034868837199722	0.165230044370427	1	NoSignificant	Weight
L288HK	0.262584339071952	0.0147202155042336	0.441591951670749	1	NoSignificant	Weight
L164HK	-0.00494285592584173	0.182233637077072	0.174064756672956	1	NoSignificant	Weight
L50HK	-0.384737557513279	0.0515658527801431	-0.205729944914481	1	NoSignificant	Weight
L306HK	-0.0489319593691886	0.362632765071393	0.130075653229609	1	NoSignificant	Weight
L164	0.401043722047851	0.0105095433261284	0.580051334646648	0.872292096068657	NoSignificant	Weight
L306	0.195032714023979	0.0488088124316017	0.374040326622776	1	NoSignificant	Weight
L288	0.215344271772833	0.0377394495217713	0.39435188437163	1	NoSignificant	Weight
L50	0.207076534394653	0.0564482449624558	0.386084146993451	1	NoSignificant	Weight
L145HK	-0.060602972486272	0.502119122046895	0.118404640112526	1	NoSignificant	Weight
L334HK	-0.248717912346579	0.369074961748018	-0.0697102997477818	1	NoSignificant	Weight
L222HK	-0.450145569603091	0.000483389383201066	-0.271137957004293	0.0401213188056885	Down	Weight
L335HK	-0.45390353449946	0.00661142323696422	-0.274895921900663	0.54874812866803	NoSignificant	Weight
