Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L137	0.196175196654896	7.95674620342264e-06	0.0121857803553448	0.0378367906642059	-0.0647639304769921	0.00584264193458395	0.00206986173997134
L155	0.548640371768163	3.26329430831521e-05	0.0121857803553448	0.0423810277969209	-0.0602196933442772	0.0109232386077033	0.00206986173997134
L132	0.975373570888156	0.00106718310968446	0.0121857803553448	0.0570752673607053	-0.0455254537804928	0.0189262423796661	0.0181378232424349
L93	0.655355336108675	0.0107433002511875	0.0121857803553448	0.171751309760612	0.0647637018068778	0.0469689784741299	0.0647712015144058
L91	0.995145308200512	0.55147070553493	0.676103314023147	0.0984397829866512	-0.0085478249670826	0.0265968424054949	0.672761916429709
L48	0.399633204904463	0.0973139911491657	0.210075040786658	0.0868809221625749	-0.0201066857911589	0.0115866868460723	0.206543981214556
L70	0.967591521682353	0.0500685119373252	0.074912899304446	0.138127927090714	0.0311403191369802	0.025626968796236	0.135250006272255
L69	0.901582678187132	0.0893562668152169	0.120690800527446	0.0831535334104512	-0.0238340745432826	0.0204645294110372	0.195643194711212
L58	0.8285690876354	0.00405493950318407	0.0224788733661253	0.0576363093108473	-0.0493512986428866	0.0217044942688879	0.0366707572461863
L62	0.791457086806911	0.0222799737912126	0.0367138563627041	0.0698522252361006	-0.0371353827176333	0.0241005734156446	0.0917670207638062
L68	0.931318266076509	0.00909161452403114	0.0367138563627041	0.060578712167011	-0.0464088957867228	0.0258773762366406	0.0581863329537993
L89	0.506842919017427	0.841863368423814	0.834531622710929	0.11053887121693	0.00355126326319574	0.0392261983985203	0.886620661428625
L90	0.528325819953989	0.00171410515915139	0.0215717479477209	0.0543740882222391	-0.0526135197314948	0.0158251624891754	0.021483650583219
L59	0.715445868150703	0.020376765376932	0.0367138563627041	0.0687721009796999	-0.038215506974034	0.0245598156226085	0.0906650177098951
L44	0.5188707643439	0.1158434322346	0.210075040786658	0.138696893183664	0.03170928522993	0.0417430878150794	0.229480322902827
L61	0.5844215802536	0.822215677580827	0.834531622710929	0.103385926487959	-0.00360168146577512	0.0332364666225797	0.874787012464511
L88	0.652608260606078	0.121284632949602	0.0946929425994759	0.07929342925473	-0.0276941786990038	0.0348999063042362	0.234671661893183
L92	0.907846392987315	0.0295304421006648	0.0361451420465623	0.0727644407784711	-0.0342231671752627	0.0232692766142366	0.105902275119625
L85	0.597142461503291	0.0207627345178346	0.0601028059388663	0.0736244811017795	-0.0393490561729864	0.0208632344468196	0.0906650177098951
L33	0.282644153024204	0.00277227728859918	0.0121857803553448	0.0603596630622158	-0.0526138742125502	0.0128758838372725	0.0312658867391068
L94	0.407946226308377	0.573929913268282	1	0.131822491900065	0.0188489546252986	0.105822752515399	0.688054305243819
L41	0.0903554700447945	0.00285601850020687	0.0121857803553448	0.0639673331763451	-0.0490062040984209	0.00452056489018269	0.0312658867391068
L42	0.177848826717301	0.0305523918164875	0.0946929425994759	0.0812808509276525	-0.0316926863471135	0.0107005358883657	0.107645124784513
L87	0.460313577856527	0.0382652034776259	0.0946929425994759	0.0796519866130024	-0.0333215506617636	0.0195665562312059	0.117913515901425
L38	0.661587913974181	0.0110703995727564	0.0367138563627041	0.0668530444291607	-0.0461204928456052	0.0224919439118105	0.0657898031752382
L34	0.512978884354193	0.023497094514873	0.0373364159206629	0.06972964492765	-0.043243892347116	0.0271156930832322	0.0936632771092659
L37	0.324338069725622	0.00348271430339057	0.0121857803553448	0.0617022701717093	-0.0512712671030567	0.01411878908054	0.03346902520215
L100	0.83009590798114	0.00951283179303803	0.0215717479477209	0.0579973219278553	-0.0549762153469106	0.0318866687161493	0.0599596670591488
L64	0.301519841807264	0.00114777705847151	0.0121857803553448	0.0516156516500541	-0.0613578856247119	0.0134839492443286	0.0181378232424349
L67	0.255305448626035	0.00117721448929265	0.0121857803553448	0.0526650429539884	-0.0603084943207776	0.0122798342615294	0.0181378232424349
L99	0.653821923899288	0.0033975423545159	0.0121857803553448	0.0558214514722332	-0.0571520858025328	0.0219084119234971	0.03346902520215
L86	0.325684476192673	0.00103410460058872	0.0121857803553448	0.0495102131757902	-0.0634633240989758	0.0149364752885424	0.0181378232424349
L72	0.605100636617491	0.940773159242491	0.676103314023147	0.111883704983471	-0.00108983229129538	0.0233689956269367	0.95896886760055
L11	0.286959243326116	0.0798101777978646	0.0601028059388663	0.0661834233595941	-0.0452241401843299	0.0321532958209546	0.186522662718605
L76	0.991974012168839	0.232931896284696	0.120690800527446	0.0758953665474336	-0.0355121969964904	0.0501991300047178	0.356330624948919
L29	0.0486813789250288	0.0426681385402492	0.0121857803553448	0.0551310194010092	-0.0562765441429148	0.00904045609605865	0.123263511338498
L8	0.0985229437614257	0.0854503408562971	0.0946929425994759	0.0717524651474532	-0.0396550983964708	0.016281568263114	0.19111474083989
L16	0.11412234992167	0.153120437198912	0.296269871484286	0.0790348159159586	-0.0323727476279654	0.0189006253246355	0.276948269020641
L1	0.0942334707294768	0.0627219878177616	0.0936926194932482	0.0680862202098908	-0.0433213433340331	0.0146115227248778	0.158456788180729
L21	0.0843415960399646	0.129016064715752	0.315302452081746	0.0799387950231196	-0.0314687685208044	0.0163730916332005	0.246195793219049
L17	0.2269831013254	0.580588784890044	1	0.0991292171673788	-0.0122783463765452	0.0248999530115489	0.690071241469309
L2	0.357362516330962	0.140502729617483	0.14367208180696	0.074621255762546	-0.036786307781378	0.0318233030159948	0.260933640718183
L20	0.185247267668757	0.0826642680851098	0.11134688653314	0.0642871015845285	-0.0471204619593955	0.0282669117078921	0.187914401767244
