Strains	Propidium_p.value	Propidium_Mean	Propidium_est	Propidium_ci	Propidium_p.adj	Suberin_p.value	Suberin_Mean	Suberin_est	Suberin_ci	Suberin_p.adj
L21	0.0781334181367956	-0.187932538954411	-0.299340102498334	0.347868457026807	0.154045032914251	3.1086289673461e-06	1.36512491023771	2.53800856859182	0.459871672637056	7.18438694675543e-05
L210	0.527000468678244	0.195822710735729	0.0922924305157301	0.370093027068538	0.633619060607368	0.0778222556658193	-1.13383768150664	-0.194674028378799	0.215496051530459	0.106539563828084
L216	1.70615783621195e-06	-1.06817930755876	-1.1934747616903	0.189483610527157	3.085920260279e-05	0.00105208619299004	0.959864074913168	2.03254174705437	0.72707320992196	0.00331468069506301
L22	0.0171035045987477	3.53083009617955	3.41613020630518	3.60124501653679	0.0484017545107417	6.65857580692366e-06	1.54402280263771	2.53838911789124	0	9.49768148350422e-05
L220	0.0606630981361292	1.38804550014674	1.28451521992674	1.37684747166846	0.127453781942575	0.854551612303224	-0.921633249039682	0.0175304040881561	0.205309810160866	0.871307526269954
L222	2.01260945185354e-07	-1.00839870487343	-1.13369415900496	0.12308168444395	5.3273326928764e-06	0.926280487194819	-1.09964242773788	-0.0269647555966743	0.105605632532309	0.935273501633603
L226	2.50863539891364e-05	-1.06901477855441	-1.19431023268594	0.280080440089017	0.00024847436332097	0.00224376101066921	1.54402280263771	2.61670047477891	0	0.0060610687041454
L23	0.347323198128085	0.42910056057451	0.314400670700141	0.899629122913303	0.478431955037362	6.65857580692366e-06	1.54402280263771	2.53838911789124	0	9.49768148350422e-05
L230	0.0127948324930953	-0.187566533302496	-0.291096813522495	0.288561732582429	0.0380189308366261	1.06264466693702e-07	1.54402280263771	2.48318645576555	0	8.84120362891598e-06
L231	2.28087549642878e-08	-1.27724338932527	-1.393433618567	0.0646991921979785	1.05427134057152e-06	0.0945315961646008	-0.366671928211432	0.633659777768967	0.391715646980699	0.127265838202181
L233	0.033108578352589	0.931619569790018	0.828503945357261	0.7206976984642	0.0787038205410115	0.000262472416273662	0.114631687723432	1.28407135078889	0.448314359930781	0.00121320583522048
L234	0.252036634825583	0.748595583891717	0.64547995945896	1.45182473645421	0.377425489692073	0.398911539262321	-1.02739483461526	0.142044828450193	0.407524102837215	0.446094624551413
L24	0.0511687268703401	-0.376678583147868	-0.488086146691792	0.589011337938116	0.110291141855241	7.53421848451056e-06	1.54402280263771	2.71690646099182	0	9.49768148350422e-05
L242	0.885419929851656	0.014232446706478	-0.0888831777262791	2.15475549199094	0.918540376105458	6.69560196876454e-06	1.54402280263771	2.71346246570317	4.0798169976532e-16	9.49768148350422e-05
L244	0.0766024350714616	0.522520653590079	0.419405029157322	0.487325912756024	0.152471832486737	0.0424160093885551	-0.838738021380788	0.330701641684668	0.278456531177856	0.0637005772766749
L245	1.59029557501533e-05	-0.949717203042589	-1.06590743228432	0.24063504872145	0.000169631528001635	0.0517344698860288	-0.216395677995713	0.783936027984685	0.372293406881777	0.0747275676131527
L247	1.16667222849445e-05	-1.14939038926467	-1.2655806185064	0.2749580851527	0.000131171796500997	0.00245841025014707	1.54402280263771	2.54435450861811	4.97033882098796e-16	0.00643206706956717
L248	2.41496828442381e-07	-1.36302839039611	-1.47921861963784	0.156865850343728	5.58126003511279e-06	0.158430487841182	-0.367439113144716	0.632892592835683	0.915596089542305	0.197919167993789
L25	0.28816897672	-0.140170201690436	-0.25157776523436	0.611595258510928	0.416244077484445	7.53421848451056e-06	1.54402280263771	2.71690646099182	3.08247328239841e-16	9.49768148350422e-05
L250	0.36066962300844	-0.158713262966982	-0.274903492208714	0.685110923595192	0.489385583569821	0.219620389497217	-1.41635444106461	-0.41602273508421	0.237579309943034	0.262534718479431
L254	0.154026156786616	3.14709684786608	3.04398122343332	5.10559722696127	0.264772236459637	0.0521543572518627	0.601564315392877	1.77100397845833	1.82613927098872	0.0750734000580445
L257	6.16174567848126e-06	-1.12632347278315	-1.24251370202488	0.239666519641552	8.01026938202564e-05	0.000477232098199565	1.24565491738341	2.2459866233638	0.512215988631526	0.00185540703599083
L258	0.000498115197083564	0.940143014867662	0.837027390434905	0.367176957465422	0.00296022745695375	0.000678311791328457	0.000656515421391474	1.17009617848685	0.473245100654857	0.0023712412201062
L26	0.347246609877522	-0.216692375474351	-0.33139226534872	0.948109934689179	0.478431955037362	0.00129632275625895	1.26644710450914	2.26081341976267	0.883369754945811	0.00387964220578217
L261	0.000271200744306026	-0.632773763385349	-0.748963992627082	0.264582667885277	0.00168387327807921	0.521499100719802	-0.802155340956721	0.198176365023678	0.222399568153931	0.566432443601665
L262	7.67973736137049e-06	-1.0705825518566	-1.18677278109833	0.240153611144239	9.39638453626508e-05	0.0487741416477629	-0.138061857535467	0.862269848444931	0.656022682637569	0.0711931330718224
L263	0.0296378855399542	-0.171543668528699	-0.274659292961457	0.234793930920938	0.0725256493212996	0.0635264790303958	-0.913855463379252	0.255584199686204	0.209537204811935	0.0892804570156914
L264	0.00961644403997373	1.26989100726442	1.16677538283167	0.736984393579399	0.0314995332332998	0.641083827170949	-1.11327790304641	0.0561617600190458	0.193815681232468	0.683822748982346
L265	4.05241278316308e-06	-1.11634330866365	-1.23253353790538	0.225740769550818	5.81311626826153e-05	0.304563078451947	-0.636323391735568	0.36400831424483	0.494996847976583	0.350964655501413
L267	0.0133990879901445	-0.577671913802404	-0.693862143044136	0.465995355183974	0.0395320610205682	0.378577066085433	-1.28281747770019	-0.282485771719791	0.259331310944545	0.426752460126414
L272	9.84178742514531e-06	-1.24889543500368	-1.36508566424542	0.289898901813773	0.000113727321357235	0.010690620750612	0.221760291409266	1.22209199738966	0.492430050655516	0.0208104166664251
L274	0.128395917238728	-0.414703788212498	-0.53089401745423	0.812614686199853	0.232229137266568	0.00662398759481766	1.13582324656629	2.13615495254668	1.29907316903796	0.0135742799972618
L278	0.578834197668784	0.384099453020721	0.280983828587964	1.34828067699788	0.678295848535814	0.00142919855562538	1.03428307455931	2.20372273762477	0.868685932191876	0.00421664254709331
L28	0.132168989211593	0.817829388519052	0.703129498644683	1.08946492909241	0.236992670310443	6.65857580692366e-06	1.54402280263771	2.53838911789124	0	9.49768148350422e-05
L280	0.167296608001502	1.96170427916098	1.85858865472823	3.26044421261913	0.284062811953571	0.0150853945485417	1.07901081520073	2.24845047826618	1.47987568133146	0.0264790047771871
L283	0.720539316422248	-0.00428578835507583	-0.107401412787833	0.676197632624169	0.795077866396963	0.185116565673533	-1.34840421472989	-0.178964551664436	0.225756248735617	0.22649556270644
L285	0.000744531619009073	-1.0705704170377	-1.18676064627943	0.328931992088412	0.00397083530138172	0.00206404658790072	0.858849143685426	1.85918084966582	0.746643500504591	0.00568638000375297
L288	5.12979205879912e-08	-1.24307503213623	-1.35926526137796	0.139482674372481	1.9399940876913e-06	0.821687137313146	-0.930619920570988	0.0697117854094107	0.290099245310567	0.848193174000666
L289	0.000633117458339412	-0.899514068604834	-1.01570429784657	0.420258355603506	0.00355914679282696	0.00349757354546081	0.791219484621169	1.79155119060157	0.881291740087134	0.00826699201654374
L29	2.95476507184027e-06	-0.715007255279313	-0.826414818823237	0.192076706306186	4.55252692550205e-05	7.53421848451056e-06	1.54402280263771	2.71690646099182	0	9.49768148350422e-05
L291	0.43496251153666	-0.0345773692800206	-0.137692993712778	0.487145506683082	0.555044186500769	0.000134139585563147	1.3617281148124	2.53116777787785	0.580143055742521	0.000797172394203846
L294	0.191576787335051	0.775839839049522	0.672724214616765	1.10762834268594	0.306522859736081	0.00153178269802784	-0.138660947324777	1.03077871574068	0.478968616723859	0.00442515001652486
L296	0.264823914490075	0.854895783673355	0.751780159240598	1.74062538840339	0.390662228467628	0.835714355991645	-1.13497550870336	0.0344641543620945	0.370587573442646	0.854194526025858
L299	0.205801360591137	-0.135550842743291	-0.238666467176048	0.421805521121565	0.325526106486362	0.826836452056471	-1.14541288350697	0.0240267795584901	0.150039223900051	0.851395950632406
