Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L454	0.194710392567824	0.765517684676887	0.935169873794061	0.368753770410916	0.021599281525061	0.138627205400325	0.798944042987253
L460	0.327764177269192	0.555547114739114	0.522816653919089	0.315893137424618	-0.031261351461237	0.10901225973405	0.597177260288039
L465	0.711346415634656	2.8515730350813e-05	0.00320874146648655	0.934065934065934	0.586911445180079	0.16133484732824	0.000158167251012509
L466	0.238482979729233	0.183517071926618	0.14367208180696	0.530486851457001	0.183332362571145	0.344040017324947	0.221927621864748
L469	0.145577478246608	6.18870638045176e-07	0.00543080065853838	0.89729430104677	0.550139812160914	0.0939537185413511	9.5351920528442e-06
L13	0.0982719877309557	0.724159957712937	0.648076868139146	0.396667607653993	0.013582333565775	0.0388438417436612	0.764595285300969
L22	0.0116760150326675	6.65857580692366e-06	0.0054941108756312	1	0.616914725911782	0	5.35648157501163e-05
L23	0.0235999943860672	6.65857580692366e-06	0.0114172214879117	1	0.616914725911782	0	5.35648157501163e-05
L26	0.907524353753213	3.44964407130274e-05	0.0130618452007295	0.932539682539683	0.549454408451465	0.214688838054853	0.000183185631992246
L28	0.0116760150326675	6.65857580692366e-06	0.0054941108756312	1	0.616914725911782	0	5.35648157501163e-05
L3	0.90372897558067	0.498530109913275	0.411313791776259	0.418366491895904	0.0352812178076859	0.109666959047631	0.542901899800843
L30	0.0116760150326675	6.65857580692366e-06	0.00673594734495369	1	0.616914725911782	6.89261979826974e-17	5.35648157501163e-05
L32	0.739177822357731	0.000195376473701717	0.00754623449045171	0.911111111111111	0.528025837022893	0.246795120462026	0.000700660457413054
L7	0.109368388415745	0.000688525149826502	0.00811311726556578	0.802897830492377	0.419812556404159	0.231682501052638	0.00189686398892599
L9	0.0116760150326676	6.65857580692366e-06	0.00754623449045171	1	0.616914725911782	1.5412366411992e-16	5.35648157501163e-05
L130	0.210329311374658	0.219945025042915	0.315302452081746	0.611731297182635	0.0508791732755908	0.10319319706631	0.262169428131383
L306	0.236580311891788	0.745875638599082	0.315302452081746	0.593025793521839	0.0321736696147956	0.290229725108712	0.782914922724013
L307	0.091365109382609	5.11706221664939e-07	0.0275318938756296	1	0.439147876092956	1.95016294377558e-16	8.18729954663903e-06
L311	0.203139699439261	0.247174736464306	0.378477593244679	0.601861910491373	0.0410097865843289	0.0734141864865646	0.288024342770732
L313	6.33424850341788e-07	0.0248578405964696	0.00823901882572464	0.817708333333333	0.25685620942629	0.210414193525015	0.0370640203875676
L314	0.44462534346975	0.128423373031059	0.229766270461138	0.596666477140903	0.0358143532338587	0.0334434098204352	0.163877678469082
L320	0.0996280456149503	0.104455204486689	0.120690800527446	0.706491760052736	0.145639636145692	0.241054263489706	0.1370768614084
L321	0.0612985907520749	0.0995295873834707	0.24095466870157	0.440031245310524	-0.12082087859652	0.246265893490937	0.131860854622687
L324	0.0855634091368973	0.00421129631214246	0.00811311726556578	0.796504060743794	0.235651936836751	0.181446820993314	0.00854585007732323
L325	0.0364900796380301	0.766294887384409	0.810181236410474	0.546498860880902	-0.0143532630261417	0.110524496910651	0.798944042987253
L326	0.091365109382609	5.11706221664939e-07	0.0275318938756296	1	0.439147876092956	1.95016294377558e-16	8.18729954663903e-06
L334	0.95585112942355	0.0711937549277211	0.0995755338938674	0.508973006758076	-0.0518791171489674	0.0514510790751673	0.0971036132784655
L335	0.60159071132905	0.233162393235867	0.315302452081746	0.589978956657503	0.0291268327504588	0.0383527774841033	0.275470073185659
L344	0.204246584933686	0.150141061498942	0.128205275030392	0.640206002913546	0.0793538790065021	0.123131121747814	0.186443825622567
L49	0.389691966834247	0.22550048687111	0.172732829130551	0.621030005569479	0.0601778816624354	0.111239482454996	0.267259836291685
L168	0.364428047252422	6.96826626193561e-05	0.0114172214879117	0.952380952380952	0.588327996438771	0.122408658839824	0.000318549314831342
L170	0.968234025667839	0.0118484890577743	0.0303828219765775	0.748644501278772	0.384591545336591	0.27454315812685	0.0200944111176719
L171	0.344262211411154	0.111383449269823	0.177909594986983	0.496900527009223	0.132847571067041	0.111860528720358	0.145252397793876
L172	0.424451821000094	0.320776552827332	0.54029137460742	0.446663334999167	0.0826103790569853	0.128260385126719	0.364598486273689
L176	0.63354684139314	0.468806744886993	0.713303173878458	0.43565225641938	0.0715993004771979	0.181697576035304	0.515935465272458
L177	0.689539882998718	0.00496755129944656	0.0179428113356381	0.847932557205941	0.48387960126376	0.258559644016569	0.00988756622282187
